,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
32,31,Jett Howard,"Oct 25, '23, ORL vs. HOU",20,1,9,36,5,16,3,12,1,2,1,4,3,0,0,2,1,14,.313,.250,.500,4.0,1.6,0.4,0.3,2023
33,32,Andre Jackson Jr.,"Oct 29, '23, MIL vs. ATL",22,1,29,281,28,51,12,28,3,4,21,47,25,7,0,14,48,71,.549,.429,.750,9.7,2.4,1.6,0.9,2023
34,33,Gregory Jackson II,"Oct 30, '23, MEM vs. DAL",19,1,4,19,3,10,2,5,0,0,1,3,0,1,1,1,2,8,.300,.400,,4.8,2.0,0.8,0.0,2023
35,34,Trayce Jackson-Davis,"Oct 27, '23, GSW @ SAC",23,1,24,316,56,88,0,0,27,44,40,93,24,8,17,19,43,139,.636,,.614,13.2,5.8,3.9,1.0,2023
36,35,Jaime Jaquez Jr.,"Oct 25, '23, MIA vs. DET",22,1,34,1019,181,359,37,105,69,81,43,128,93,37,10,56,83,468,.504,.352,.852,30.0,13.8,3.8,2.7,2023
37,36,Keyontae Johnson,"Oct 29, '23, OKC vs. DEN",23,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,6.0,0.0,0.0,0.0,2023
38,37,Colby Jones,"Oct 25, '23, SAC @ UTA",21,1,12,77,14,31,1,8,2,3,7,16,2,2,1,4,11,31,.452,.125,.667,6.4,2.6,1.3,0.2,2023
39,38,Maxwell Lewis,"Oct 24, '23, LAL @ DEN",21,1,12,53,1,9,1,3,0,0,1,3,3,2,0,5,2,3,.111,.333,,4.4,0.3,0.3,0.3,2023
40,39,E.J. Liddell,"Oct 28, '23, NOP vs. NYK",23,1,3,9,1,4,0,3,2,2,0,2,0,0,1,1,1,4,.250,.000,1.000,3.0,1.3,0.7,0.0,2023
41,40,Dereck Lively II,"Oct 25, '23, DAL @ SAS",19,1,29,732,115,159,0,2,23,42,78,220,37,18,42,33,86,253,.723,.000,.548,25.2,8.7,7.6,1.3,2023
42,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2023
43,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2023
44,41,Chris Livingston,"Nov 1, '23, MIL @ TOR",20,1,8,25,4,5,1,1,0,0,1,7,3,1,0,1,2,9,.800,1.000,,3.1,1.1,0.9,0.4,2023
45,42,Seth Lundy,"Dec 15, '23, ATL @ TOR",23,1,4,30,2,10,1,8,0,0,1,3,0,0,0,1,5,5,.200,.125,,7.5,1.3,0.8,0.0,2023
46,43,Nathan Mensah,"Dec 15, '23, CHO vs. NOP",25,1,8,97,4,9,0,0,4,6,7,25,1,3,5,4,17,12,.444,,.667,12.1,1.5,3.1,0.1,2023
47,44,Vasilije Micić,"Oct 27, '23, OKC @ CLE",30,1,14,174,14,47,6,29,4,6,1,10,42,5,2,12,17,38,.298,.207,.667,12.4,2.7,0.7,3.0,2023
48,45,Brandon Miller,"Oct 25, '23, CHO vs. ATL",21,1,28,877,157,363,59,149,44,54,24,107,62,18,15,48,76,417,.433,.396,.815,31.3,14.9,3.8,2.2,2023
49,46,Jordan Miller,"Oct 25, '23, LAC vs. POR",24,1,3,12,2,3,1,1,0,0,0,1,0,0,0,1,2,5,.667,1.000,,4.0,1.7,0.3,0.0,2023
50,47,Leonard Miller,"Oct 28, '23, MIN vs. MIA",20,1,4,11,4,5,1,1,0,0,0,7,1,0,0,0,1,9,.800,1.000,,2.8,2.3,1.8,0.3,2023
51,48,Dariq Whitehead,"Nov 25, '23, BRK vs. MIA",19,1,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,.200,.000,.500,12.0,1.5,2.0,1.5,2023
52,49,Kris Murray,"Oct 25, '23, POR @ LAC",23,1,17,185,17,46,8,27,3,5,10,28,10,12,3,2,14,45,.370,.296,.600,10.9,2.6,1.6,0.6,2023
53,50,Markquis Nowell,"Nov 15, '23, TOR vs. MIL",24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,.000,,1.000,4.0,2.0,2.0,2.0,2023
54,51,Drew Peterson,"Dec 23, '23, BOS @ LAC",24,1,1,3,1,1,1,1,0,0,0,0,1,0,0,0,1,3,1.000,1.000,,3.0,3.0,0.0,1.0,2023
55,52,Filip Petrušev,"Oct 29, '23, PHI vs. POR",23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,.500,,.500,3.3,1.0,0.3,0.0,2023
56,53,Julian Phillips,"Oct 25, '23, CHI vs. OKC",20,1,21,95,8,24,1,12,1,4,3,11,6,1,3,2,12,18,.333,.083,.250,4.5,0.9,0.5,0.3,2023
57,54,Jalen Pickett,"Oct 24, '23, DEN vs. LAL",24,1,15,90,11,25,7,18,2,2,1,11,10,3,0,6,8,31,.440,.389,1.000,6.0,2.1,0.7,0.7,2023
