,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
44,Chris Livingston,20,1,8,25,4,5,1,1,0,0,1,7,3,1,0,1,2,9,0.8,1.0,,3.1,1.1,0.9,0.4,2023
45,Seth Lundy,23,1,4,30,2,10,1,8,0,0,1,3,0,0,0,1,5,5,0.2,0.125,,7.5,1.3,0.8,0.0,2023
46,Nathan Mensah,25,1,8,97,4,9,0,0,4,6,7,25,1,3,5,4,17,12,0.444,,0.667,12.1,1.5,3.1,0.1,2023
47,Vasilije Micić,30,1,14,174,14,47,6,29,4,6,1,10,42,5,2,12,17,38,0.298,0.207,0.667,12.4,2.7,0.7,3.0,2023
48,Brandon Miller,21,1,28,877,157,363,59,149,44,54,24,107,62,18,15,48,76,417,0.433,0.396,0.815,31.3,14.9,3.8,2.2,2023
49,Jordan Miller,24,1,3,12,2,3,1,1,0,0,0,1,0,0,0,1,2,5,0.667,1.0,,4.0,1.7,0.3,0.0,2023
50,Leonard Miller,20,1,4,11,4,5,1,1,0,0,0,7,1,0,0,0,1,9,0.8,1.0,,2.8,2.3,1.8,0.3,2023
51,Dariq Whitehead,19,1,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,0.2,0.0,0.5,12.0,1.5,2.0,1.5,2023
52,Kris Murray,23,1,17,185,17,46,8,27,3,5,10,28,10,12,3,2,14,45,0.37,0.296,0.6,10.9,2.6,1.6,0.6,2023
53,Markquis Nowell,24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,0.0,,1.0,4.0,2.0,2.0,2.0,2023
54,Drew Peterson,24,1,1,3,1,1,1,1,0,0,0,0,1,0,0,0,1,3,1.0,1.0,,3.0,3.0,0.0,1.0,2023
55,Filip Petrušev,23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,0.5,,0.5,3.3,1.0,0.3,0.0,2023
56,Julian Phillips,20,1,21,95,8,24,1,12,1,4,3,11,6,1,3,2,12,18,0.333,0.083,0.25,4.5,0.9,0.5,0.3,2023
57,Jalen Pickett,24,1,15,90,11,25,7,18,2,2,1,11,10,3,0,6,8,31,0.44,0.389,1.0,6.0,2.1,0.7,0.7,2023
58,Brandin Podziemski,20,1,28,660,100,211,39,91,20,31,41,148,89,28,5,37,51,259,0.474,0.429,0.645,23.6,9.3,5.3,3.2,2023
59,Craig Porter Jr.,23,1,23,383,71,141,7,20,24,37,13,62,76,16,11,23,24,173,0.504,0.35,0.649,16.7,7.5,2.7,3.3,2023
60,Olivier-Maxence Prosper,21,1,22,201,19,56,6,28,19,27,14,46,16,2,2,4,13,63,0.339,0.214,0.704,9.1,2.9,2.1,0.7,2023
61,Duop Reath,27,1,21,311,61,138,28,79,24,26,24,64,21,12,7,15,44,174,0.442,0.354,0.923,14.8,8.3,3.0,1.0,2023
62,Rayan Rupert,19,1,8,36,1,13,1,6,2,4,1,1,4,2,0,2,1,5,0.077,0.167,0.5,4.5,0.6,0.1,0.5,2023
63,Jermaine Samuels,25,1,6,38,5,7,0,2,2,2,1,8,2,1,1,0,3,12,0.714,0.0,1.0,6.3,2.0,1.3,0.3,2023
66,Adama Sanogo,21,1,3,11,3,3,0,0,2,3,2,6,0,0,0,1,0,8,1.0,,0.667,3.7,2.7,2.0,0.0,2023
67,Gui Santos,21,1,4,22,4,7,1,3,4,4,4,8,1,0,0,2,3,13,0.571,0.333,1.0,5.5,3.3,2.0,0.3,2023
68,Marcus Sasser,23,1,30,477,84,173,36,84,18,21,4,48,70,18,5,25,42,222,0.486,0.429,0.857,15.9,7.4,1.6,2.3,2023
69,Brice Sensabaugh,20,1,2,5,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0.0,,,2.5,0.0,1.5,0.0,2023
70,Ben Sheppard,22,1,14,93,15,35,7,22,4,6,2,8,8,4,0,1,11,41,0.429,0.318,0.667,6.6,2.9,0.6,0.6,2023
71,Dmytro Skapintsev,25,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,1.0,0.0,0.0,0.0,2023
