,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
403,Juan Carlos Navarro,27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,0.402,0.361,0.849,25.8,10.9,2.6,2.2,2008,3.0,625.0,0.005
404,Demetris Nichols,23,2,18,58,9,32,3,15,1,2,0,7,2,0,4,4,5,22,0.281,0.2,0.5,3.2,1.2,0.4,0.1,2008,0.0,0.0,0.0
405,Joakim Noah,22,13,672,18646,2248,4574,0,16,1385,1979,2141,6058,1907,534,874,1133,1874,5881,0.491,0.0,0.7,27.7,8.8,9.0,2.8,2008,0.0,0.0,0.0
406,Oleksiy Pecherov,22,3,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,0.386,0.29,0.793,9.4,3.9,2.4,0.2,2008,0.0,0.0,0.0
407,Kosta Perović,22,1,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,0.3,,0.667,5.4,1.4,1.9,0.1,2008,0.0,0.0,0.0
408,Kasib Powell,26,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,0.368,0.242,0.667,27.6,7.6,4.0,1.6,2008,0.0,0.0,0.0
409,Gabe Pruitt,21,2,62,461,45,140,17,60,18,23,10,51,52,20,3,24,44,125,0.321,0.283,0.783,7.4,2.0,0.8,0.8,2008,0.0,0.0,0.0
410,Chris Richard,23,2,70,780,56,116,0,0,23,38,71,194,25,18,16,38,133,135,0.483,,0.605,11.1,1.9,2.8,0.4,2008,0.0,0.0,0.0
411,Cheikh Samb,23,2,22,114,9,36,0,3,4,9,13,31,1,4,12,4,15,22,0.25,0.0,0.444,5.2,1.0,1.4,0.0,2008,0.0,0.0,0.0
412,Luis Scola,27,10,743,19001,3669,7442,92,271,1452,1961,1335,4941,1194,474,224,1121,2037,8882,0.493,0.339,0.74,25.6,12.0,6.7,1.6,2008,146.0,625.0,0.234
413,Ramon Sessions,21,11,691,16119,2406,5539,208,658,2121,2681,339,1840,2807,472,52,1173,942,7141,0.434,0.316,0.791,23.3,10.3,2.7,4.1,2008,0.0,0.0,0.0
414,Courtney Sims,24,2,5,24,3,7,0,0,0,0,3,6,1,0,0,1,3,6,0.429,,,4.8,1.2,1.2,0.2,2008,0.0,0.0,0.0
415,Jason Smith,21,11,616,10029,1572,3360,84,252,549,701,656,2075,453,208,408,507,1337,3777,0.468,0.333,0.783,16.3,6.1,3.4,0.7,2008,0.0,0.0,0.0
416,D.J. Strawberry,22,1,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,0.315,0.24,0.474,8.2,2.2,0.8,0.9,2008,0.0,0.0,0.0
417,Rodney Stuckey,21,10,651,17890,2904,6870,276,921,2101,2551,419,1912,2333,568,94,1181,1346,8185,0.423,0.3,0.824,27.5,12.6,2.9,3.6,2008,0.0,0.0,0.0
418,Al Thornton,24,4,296,8274,1368,3029,78,266,713,954,392,1233,353,185,152,424,771,3527,0.452,0.293,0.747,28.0,11.9,4.2,1.2,2008,30.0,625.0,0.048
419,Alando Tucker,23,3,51,426,77,182,10,34,47,60,29,49,16,5,2,19,22,211,0.423,0.294,0.783,8.4,4.1,1.0,0.3,2008,0.0,0.0,0.0
420,Darius Washington,22,1,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,0.438,0.333,0.538,8.1,2.9,1.1,0.8,2008,0.0,0.0,0.0
421,Darryl Watkins,23,2,14,169,12,29,0,0,11,23,13,39,3,7,6,15,22,35,0.414,,0.478,12.1,2.5,2.8,0.2,2008,0.0,0.0,0.0
422,C.J. Watson,23,10,600,12093,1516,3617,471,1263,841,1036,218,1156,1485,559,67,650,894,4344,0.419,0.373,0.812,20.2,7.2,1.9,2.5,2008,0.0,0.0,0.0
423,Mario West,23,4,162,796,56,125,2,10,40,71,60,142,51,45,8,31,134,154,0.448,0.2,0.563,4.9,1.0,0.9,0.3,2008,0.0,0.0,0.0
424,Marcus Williams,21,2,13,39,7,22,0,0,0,0,4,12,3,1,1,0,4,14,0.318,,,3.0,1.1,0.9,0.2,2008,0.0,0.0,0.0
425,Sean Williams,21,4,137,1978,229,448,0,1,123,197,183,472,47,47,162,120,324,581,0.511,0.0,0.624,14.4,4.2,3.4,0.3,2008,0.0,0.0,0.0
426,Brandan Wright,20,10,428,6949,1271,2095,0,12,434,644,586,1560,199,198,425,202,574,2976,0.607,0.0,0.674,16.2,7.0,3.6,0.5,2008,0.0,0.0,0.0
427,Julian Wright,20,4,231,3049,397,795,16,61,97,166,184,531,182,132,69,164,182,907,0.499,0.262,0.584,13.2,3.9,2.3,0.8,2008,0.0,0.0,0.0
428,Nick Young,22,12,720,16419,2894,6920,1039,2764,1367,1636,260,1427,687,394,135,711,1316,8194,0.418,0.376,0.836,22.8,11.4,2.0,1.0,2008,0.0,0.0,0.0
429,Thaddeus Young,19,17,1146,32604,6084,12104,521,1586,1412,2131,2253,6518,2085,1591,453,1630,2440,14101,0.503,0.328,0.663,28.5,12.3,5.7,1.8,2008,2.0,625.0,0.003
430,Alexis Ajinça,20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,0.503,0.286,0.797,13.3,5.3,3.9,0.5,2009,0.0,0.0,0.0
431,Joe Alexander,22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,0.41,0.34,0.698,11.1,4.2,1.8,0.7,2009,0.0,0.0,0.0
432,Ryan Anderson,20,12,649,16769,2755,6533,1325,3491,1166,1366,1247,3413,586,332,217,606,1263,8001,0.422,0.38,0.854,25.8,12.3,5.3,0.9,2009,0.0,0.0,0.0
433,Darrell Arthur,20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,0.444,0.352,0.765,17.8,6.5,3.5,0.8,2009,0.0,0.0,0.0
434,D.J. Augustin,21,14,976,22851,2994,7270,1262,3311,2009,2317,292,1805,3761,567,32,1428,1350,9259,0.412,0.381,0.867,23.4,9.5,1.8,3.9,2009,0.0,0.0,0.0
435,Nicolas Batum,20,16,1015,30259,3820,8734,1619,4419,1496,1798,996,5085,3383,940,637,1603,1767,10755,0.437,0.366,0.832,29.8,10.6,5.0,3.3,2009,1.0,600.0,0.002
436,Jerryd Bayless,20,11,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,0.411,0.361,0.818,21.3,8.4,2.1,2.9,2009,0.0,0.0,0.0
437,Michael Beasley,20,11,609,13903,3088,6644,291,835,1101,1450,664,2861,788,345,314,1025,1294,7568,0.465,0.349,0.759,22.8,12.4,4.7,1.3,2009,7.0,600.0,0.012
438,Bobby Brown,24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,0.379,0.317,0.806,10.7,4.4,0.7,1.5,2009,0.0,0.0,0.0
439,Mario Chalmers,22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,0.417,0.351,0.793,26.7,8.9,2.5,3.7,2009,2.0,600.0,0.003
440,Joe Crawford,22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,0.3,0.25,1.0,11.5,4.5,2.0,0.5,2009,0.0,0.0,0.0
441,Joey Dorsey,25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,0.534,0.0,0.375,11.4,2.6,3.9,0.4,2009,0.0,0.0,0.0
442,Chris Douglas-Roberts,22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,0.439,0.329,0.831,19.7,7.1,2.1,1.1,2009,0.0,0.0,0.0
443,Goran Dragić,22,15,946,25604,4605,10029,1150,3181,2208,2883,643,2816,4405,876,167,2064,2119,12568,0.459,0.362,0.766,27.1,13.3,3.0,4.7,2009,0.0,0.0,0.0
444,Rudy Fernández,23,4,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,0.399,0.36,0.84,24.0,9.1,2.4,2.2,2009,3.0,600.0,0.005
445,Danilo Gallinari,20,14,754,22165,3511,8207,1446,3796,3040,3469,513,3586,1445,542,265,897,1331,11508,0.428,0.381,0.876,29.4,15.3,4.8,1.9,2009,0.0,0.0,0.0
446,Marc Gasol,24,13,891,28719,4635,9638,431,1197,2813,3625,1411,6604,2996,792,1254,1755,2551,12514,0.481,0.36,0.776,32.2,14.0,7.4,3.4,2009,4.0,600.0,0.007
447,J.R. Giddens,23,2,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,0.476,0.0,0.565,6.5,1.9,1.4,0.3,2009,0.0,0.0,0.0
448,Eric Gordon,20,16,848,27165,4612,10719,1959,5266,2343,2892,323,2008,2377,713,300,1615,1542,13526,0.43,0.372,0.81,32.0,16.0,2.4,2.8,2009,22.0,600.0,0.037
449,Donté Greene,20,4,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,0.406,0.304,0.701,16.8,6.1,2.4,0.7,2009,0.0,0.0,0.0
450,Hamed Haddadi,23,5,151,1056,130,281,0,5,79,125,137,372,43,11,92,92,209,339,0.463,0.0,0.632,7.0,2.2,2.5,0.3,2009,0.0,0.0,0.0
451,Malik Hairston,21,2,62,472,64,125,2,12,19,37,24,77,29,10,16,23,48,149,0.512,0.167,0.514,7.6,2.4,1.2,0.5,2009,0.0,0.0,0.0
452,Roy Hibbert,22,9,662,16389,2622,5641,6,24,1361,1802,1527,4173,885,241,1146,1038,2067,6611,0.465,0.25,0.755,24.8,10.0,6.3,1.3,2009,0.0,0.0,0.0
453,J.J. Hickson,20,8,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,0.505,0.0,0.617,22.3,9.5,6.8,0.8,2009,0.0,0.0,0.0
454,George Hill,22,15,915,24501,3377,7393,1066,2808,1725,2141,533,2731,2807,806,233,1091,1759,9545,0.457,0.38,0.806,26.8,10.4,3.0,3.1,2009,0.0,0.0,0.0
455,Steven Hill,23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.0,,,2.0,2.0,3.0,0.0,2009,0.0,0.0,0.0
456,Othello Hunter,22,2,23,125,15,32,0,0,3,9,15,36,1,2,6,5,16,33,0.469,,0.333,5.4,1.4,1.6,0.0,2009,0.0,0.0,0.0
457,Darnell Jackson,23,3,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,0.449,0.235,0.644,7.5,2.2,1.5,0.2,2009,0.0,0.0,0.0
458,Nathan Jawai,22,2,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,0.435,0.0,0.684,9.6,2.8,2.4,0.5,2009,0.0,0.0,0.0
459,Dontell Jefferson,25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,0.5,0.5,0.667,14.0,4.8,2.0,1.5,2009,0.0,0.0,0.0
460,Trey Johnson,24,3,23,169,20,52,1,3,18,19,5,20,15,2,1,11,26,59,0.385,0.333,0.947,7.3,2.6,0.9,0.7,2009,0.0,0.0,0.0
461,DeAndre Jordan,20,16,1033,26965,3735,5538,2,13,1727,3642,3082,10418,981,554,1532,1391,2577,9199,0.674,0.154,0.474,26.1,8.9,10.1,0.9,2009,0.0,0.0,0.0
462,Kosta Koufos,19,11,686,11271,1750,3277,0,4,413,710,1198,3452,359,291,506,479,1398,3913,0.534,0.0,0.582,16.4,5.7,5.0,0.5,2009,0.0,0.0,0.0
463,Rob Kurz,23,1,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,0.389,0.395,0.8,11.1,3.9,2.0,0.5,2009,0.0,0.0,0.0
464,Courtney Lee,23,12,811,21938,2961,6567,876,2259,967,1134,364,2127,1353,809,213,762,1339,7765,0.451,0.388,0.853,27.1,9.6,2.6,1.7,2009,2.0,600.0,0.003
465,Brook Lopez,20,16,981,29654,6087,12267,845,2453,2915,3663,1984,6103,1392,563,1827,1620,2605,15934,0.496,0.344,0.796,30.2,16.2,6.2,1.4,2009,127.0,600.0,0.212
466,Robin Lopez,20,16,985,20897,3479,6474,57,188,1301,1751,2144,4657,817,218,1043,1062,1854,8316,0.537,0.303,0.743,21.2,8.4,4.7,0.8,2009,3.0,600.0,0.005
467,Kevin Love,20,16,901,26843,4959,11301,1613,4365,3545,4277,2162,9251,2107,554,359,1635,1772,15076,0.439,0.37,0.829,29.8,16.7,10.3,2.3,2009,16.0,600.0,0.027
468,Cartier Martin,24,7,243,3351,430,1098,218,586,151,207,88,463,121,97,27,128,317,1229,0.392,0.372,0.729,13.8,5.1,1.9,0.5,2009,0.0,0.0,0.0
469,O.J. Mayo,21,8,547,16919,2808,6547,854,2287,1104,1346,285,1706,1607,559,141,1130,1239,7574,0.429,0.373,0.82,30.9,13.8,3.1,2.9,2009,246.0,600.0,0.41
470,Luc Mbah a Moute,22,12,689,16038,1685,3708,207,619,803,1218,962,2800,588,612,263,646,1242,4380,0.454,0.334,0.659,23.3,6.4,4.1,0.9,2009,0.0,0.0,0.0
471,JaVale McGee,21,16,891,14573,2932,5061,14,72,972,1612,1609,4531,381,338,1255,890,1913,6850,0.579,0.194,0.603,16.4,7.7,5.1,0.4,2009,0.0,0.0,0.0
472,Anthony Morrow,23,9,564,12280,1956,4380,807,1937,608,691,309,1215,494,317,75,380,897,5327,0.447,0.417,0.88,21.8,9.4,2.2,0.9,2009,0.0,0.0,0.0
473,DeMarcus Nelson,23,1,13,171,24,54,0,3,5,14,6,24,13,9,2,15,24,53,0.444,0.0,0.357,13.2,4.1,1.8,1.0,2009,0.0,0.0,0.0
474,Greg Oden,21,3,105,2028,317,552,0,0,206,313,256,656,51,40,130,138,374,840,0.574,,0.658,19.3,8.0,6.2,0.5,2009,0.0,0.0,0.0
475,Anthony Randolph,19,6,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,0.453,0.241,0.74,15.2,7.1,4.3,0.7,2009,0.0,0.0,0.0
476,Derrick Rose,20,15,716,21959,4901,10761,586,1858,2136,2569,553,2309,3749,535,242,1737,884,12524,0.455,0.315,0.831,30.7,17.5,3.2,5.2,2009,574.0,600.0,0.957
477,Brandon Rush,23,9,481,10564,1220,2861,522,1300,288,408,187,1413,468,222,262,400,620,3250,0.426,0.402,0.706,22.0,6.8,2.9,1.0,2009,0.0,0.0,0.0
478,Walter Sharpe,22,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,0.364,0.0,0.0,2.5,1.0,0.4,0.0,2009,0.0,0.0,0.0
479,Sean Singletary,23,1,37,303,31,85,10,25,18,21,10,35,29,11,0,23,45,90,0.365,0.4,0.857,8.2,2.4,0.9,0.8,2009,0.0,0.0,0.0
480,Marreese Speights,21,10,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592,0.459,0.356,0.797,15.1,7.9,4.1,0.7,2009,0.0,0.0,0.0
481,Mike Taylor,23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,0.412,0.325,0.691,15.1,5.7,1.7,2.1,2009,0.0,0.0,0.0
482,Jason Thompson,22,8,588,14819,2112,4255,6,42,980,1492,1264,3880,635,283,414,747,1751,5210,0.496,0.143,0.657,25.2,8.9,6.6,1.1,2009,0.0,0.0,0.0
483,Anthony Tolliver,23,13,730,14197,1466,3538,865,2320,654,848,545,2416,650,272,215,462,1171,4451,0.414,0.373,0.771,19.4,6.1,3.3,0.9,2009,0.0,0.0,0.0
484,Roko Ukić,24,2,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,0.387,0.189,0.746,11.6,4.0,0.9,1.9,2009,0.0,0.0,0.0
485,Henry Walker,21,5,181,3016,386,865,190,515,117,154,55,401,153,93,27,142,375,1079,0.446,0.369,0.76,16.7,6.0,2.2,0.8,2009,0.0,0.0,0.0
486,Kyle Weaver,22,3,73,1379,134,304,42,119,53,72,34,158,119,55,33,80,97,363,0.441,0.353,0.736,18.9,5.0,2.2,1.6,2009,0.0,0.0,0.0
487,Sonny Weems,22,4,183,3335,514,1106,34,120,127,181,88,402,257,84,28,198,268,1189,0.465,0.283,0.702,18.2,6.5,2.2,1.4,2009,0.0,0.0,0.0
488,Russell Westbrook,20,16,1127,38337,8904,20319,1252,4108,5767,7428,1832,8176,9314,1811,361,4520,2914,24827,0.438,0.305,0.776,34.0,22.0,7.3,8.3,2009,73.0,600.0,0.122
489,D.J. White,22,6,138,2111,348,687,1,3,113,157,117,437,80,39,57,65,199,810,0.507,0.333,0.72,15.3,5.9,3.2,0.6,2009,0.0,0.0,0.0
490,Jawad Williams,25,3,90,1153,127,344,45,144,41,57,24,133,56,22,8,35,109,340,0.369,0.313,0.719,12.8,3.8,1.5,0.6,2009,0.0,0.0,0.0
491,Sun Yue,23,1,10,28,3,11,0,6,0,0,0,0,2,1,1,3,10,6,0.273,0.0,,2.8,0.6,0.0,0.2,2009,0.0,0.0,0.0
492,David Andersen,29,2,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,0.44,0.347,0.674,12.3,4.9,2.8,0.6,2010,0.0,0.0,0.0
493,Antonio Anderson,24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,0.333,,,15.0,2.0,1.0,0.0,2010,0.0,0.0,0.0
494,Jeff Ayres,22,6,237,2322,287,519,2,5,114,147,196,632,99,37,66,132,360,690,0.553,0.4,0.776,9.8,2.9,2.7,0.4,2010,0.0,0.0,0.0
495,Rodrigue Beaubois,21,4,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,0.439,0.325,0.81,15.9,7.1,1.9,2.1,2010,0.0,0.0,0.0
496,DeJuan Blair,20,7,424,7054,1242,2371,0,9,381,627,810,2153,349,316,127,471,1003,2865,0.524,0.0,0.608,16.6,6.8,5.1,0.8,2010,0.0,0.0,0.0
497,Jon Brockman,22,3,150,1570,118,242,0,1,84,136,212,472,49,33,9,57,267,320,0.488,0.0,0.618,10.5,2.1,3.1,0.3,2010,0.0,0.0,0.0
498,Derrick Brown,22,3,171,2554,354,687,13,41,174,273,167,413,119,89,32,109,208,895,0.515,0.317,0.637,14.9,5.2,2.4,0.7,2010,0.0,0.0,0.0
499,Chase Budinger,21,7,407,7998,1188,2766,413,1172,409,513,238,1240,473,213,65,310,485,3198,0.43,0.352,0.797,19.7,7.9,3.0,1.2,2010,0.0,0.0,0.0
500,DeMarre Carroll,23,11,578,13675,1806,4204,658,1839,880,1188,655,2454,726,524,151,498,1127,5150,0.43,0.358,0.741,23.7,8.9,4.2,1.3,2010,0.0,0.0,0.0
501,Omri Casspi,21,10,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,0.454,0.368,0.678,20.3,7.9,4.0,1.1,2010,0.0,0.0,0.0
502,Earl Clark,22,6,261,3630,453,1125,82,250,150,226,195,778,134,83,136,175,323,1138,0.403,0.328,0.664,13.9,4.4,3.0,0.5,2010,0.0,0.0,0.0
503,Darren Collison,22,11,711,20833,3272,6944,635,1613,1682,1973,332,1889,3545,820,106,1383,1212,8861,0.471,0.394,0.853,29.3,12.5,2.7,5.0,2010,17.0,615.0,0.028
504,Dante Cunningham,22,10,715,14875,1772,3777,216,626,373,575,804,2676,506,459,336,352,1227,4133,0.469,0.345,0.649,20.8,5.8,3.7,0.7,2010,0.0,0.0,0.0
505,JamesOn Curry,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,2010,0.0,0.0,0.0
506,Stephen Curry,21,15,914,31377,7715,16265,3541,8297,3626,3988,608,4318,5888,1446,220,2875,2158,22597,0.474,0.427,0.909,34.3,24.7,4.7,6.4,2010,391.0,615.0,0.636
507,Austin Daye,21,6,293,4132,567,1410,188,535,200,257,143,764,212,116,117,204,480,1522,0.402,0.351,0.778,14.1,5.2,2.6,0.7,2010,0.0,0.0,0.0
508,DeMar DeRozan,20,15,1065,36713,8053,17220,488,1657,5851,6965,763,4699,4287,1054,341,2186,2422,22445,0.468,0.295,0.84,34.5,21.1,4.4,4.0,2010,0.0,0.0,0.0
509,Toney Douglas,23,8,394,7511,1093,2705,444,1256,379,460,213,875,889,349,30,410,775,3009,0.404,0.354,0.824,19.1,7.6,2.2,2.3,2010,0.0,0.0,0.0
510,Wayne Ellington,22,13,770,16100,2233,5441,1214,3175,510,605,238,1643,852,412,66,508,884,6190,0.41,0.382,0.843,20.9,8.0,2.1,1.1,2010,0.0,0.0,0.0
511,Tyreke Evans,20,10,594,18242,3510,7978,500,1548,1827,2415,500,2720,2852,734,222,1489,1308,9347,0.44,0.323,0.757,30.7,15.7,4.6,4.8,2010,491.0,615.0,0.798
512,Jonny Flynn,20,3,163,3738,551,1379,118,349,284,351,44,307,634,122,7,382,179,1504,0.4,0.338,0.809,22.9,9.2,1.9,3.9,2010,2.0,615.0,0.003
513,Sundiata Gaines,23,3,113,1311,182,458,44,146,100,178,46,175,207,83,3,93,100,508,0.397,0.301,0.562,11.6,4.5,1.5,1.8,2010,0.0,0.0,0.0
514,Alonzo Gee,22,8,417,9071,1001,2309,186,572,566,751,389,1360,441,379,101,447,792,2754,0.434,0.325,0.754,21.8,6.6,3.3,1.1,2010,0.0,0.0,0.0
515,Taj Gibson,24,15,955,22553,3423,6610,52,199,1372,1925,2076,5588,919,519,945,1017,2360,8270,0.518,0.261,0.713,23.6,8.7,5.9,1.0,2010,2.0,615.0,0.003
516,Trey Gilder,25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.0,,,2.5,1.0,0.5,0.0,2010,0.0,0.0,0.0
517,Danny Green,22,15,832,20899,2546,6047,1577,3946,535,665,501,2827,1277,853,634,825,1454,7204,0.421,0.4,0.805,25.1,8.7,3.4,1.5,2010,0.0,0.0,0.0
518,Taylor Griffin,23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,0.4,0.0,0.5,4.0,1.3,0.3,0.1,2010,0.0,0.0,0.0
519,Tyler Hansbrough,24,7,428,7233,947,2156,3,22,984,1333,745,1808,181,207,91,319,869,2881,0.439,0.136,0.738,16.9,6.7,4.2,0.4,2010,0.0,0.0,0.0
520,James Harden,20,15,1028,35706,7438,16806,2832,7774,7481,8699,791,5782,7242,1558,570,3807,2626,25189,0.443,0.364,0.86,34.7,24.5,5.6,7.0,2010,0.0,0.0,0.0
521,Gerald Henderson,22,8,535,13854,2249,5111,249,762,1240,1564,314,1716,1009,358,183,639,930,5987,0.44,0.327,0.793,25.9,11.2,3.2,1.9,2010,0.0,0.0,0.0
522,Jordan Hill,22,8,409,7692,1357,2733,3,22,515,737,879,2389,322,150,272,426,875,3232,0.497,0.136,0.699,18.8,7.9,5.8,0.8,2010,0.0,0.0,0.0
523,Jrue Holiday,19,15,936,31036,5996,12990,1385,3767,1887,2410,887,3898,6012,1373,479,2532,2038,15264,0.462,0.368,0.783,33.2,16.3,4.2,6.4,2010,0.0,0.0,0.0
524,Lester Hudson,25,4,57,594,95,253,28,101,50,62,16,77,71,32,8,56,52,268,0.375,0.277,0.806,10.4,4.7,1.4,1.2,2010,0.0,0.0,0.0
525,Chris Hunter,25,1,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,0.502,0.0,0.754,13.1,4.5,2.8,0.6,2010,0.0,0.0,0.0
526,Serge Ibaka,20,14,919,25126,4575,8916,614,1709,1264,1669,1894,6513,749,373,1759,1187,2480,11028,0.513,0.359,0.757,27.3,12.0,7.1,0.8,2010,0.0,0.0,0.0
527,Cedric Jackson,23,1,12,74,6,20,1,6,7,12,2,8,14,3,2,11,7,20,0.3,0.167,0.583,6.2,1.7,0.7,1.2,2010,0.0,0.0,0.0
528,Othyus Jeffers,24,3,37,442,46,100,1,6,46,69,34,95,22,21,0,21,45,139,0.46,0.167,0.667,11.9,3.8,2.6,0.6,2010,0.0,0.0,0.0
529,Brandon Jennings,20,9,555,16844,2750,7099,914,2648,1387,1743,329,1659,3151,679,98,1203,996,7801,0.387,0.345,0.796,30.3,14.1,3.0,5.7,2010,204.0,615.0,0.332
530,Jonas Jerebko,22,9,635,11323,1465,3203,400,1101,589,765,763,2522,525,321,153,438,1225,3919,0.457,0.363,0.77,17.8,6.2,4.0,0.8,2010,0.0,0.0,0.0
531,James Johnson,22,15,768,15493,2305,4862,381,1266,825,1217,605,2709,1602,577,652,1040,1737,5816,0.474,0.301,0.678,20.2,7.6,3.5,2.1,2010,0.0,0.0,0.0
532,Oliver Lafayette,25,1,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,0.5,0.5,,22.0,7.0,4.0,2.0,2010,0.0,0.0,0.0
533,Marcus Landry,24,1,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,0.372,0.321,0.6,6.2,2.4,1.1,0.0,2010,0.0,0.0,0.0
534,Ty Lawson,22,8,551,16088,2496,5424,473,1319,1512,1964,351,1506,3316,636,52,1159,898,6977,0.46,0.359,0.77,29.2,12.7,2.7,6.0,2010,0.0,0.0,0.0
535,Wesley Matthews,23,15,968,28371,3798,9065,1827,4875,1717,2085,493,2729,1832,918,196,1069,1981,11140,0.419,0.375,0.824,29.3,11.5,2.8,1.9,2010,0.0,0.0,0.0
536,Eric Maynor,22,5,267,3896,440,1122,111,317,150,208,67,348,760,111,20,281,296,1141,0.392,0.35,0.721,14.6,4.3,1.3,2.8,2010,0.0,0.0,0.0
537,Jodie Meeks,22,10,539,12110,1665,3969,775,2078,883,1004,148,1120,583,413,36,410,632,4988,0.42,0.373,0.879,22.5,9.3,2.1,1.1,2010,0.0,0.0,0.0
538,Patty Mills,21,15,867,17647,2778,6529,1501,3860,724,848,256,1441,1955,549,77,831,1116,7781,0.425,0.389,0.854,20.4,9.0,1.7,2.3,2010,0.0,0.0,0.0
539,Byron Mullens,20,5,189,3446,557,1366,111,348,173,245,200,790,153,74,98,187,335,1398,0.408,0.319,0.706,18.2,7.4,4.2,0.8,2010,0.0,0.0,0.0
540,A.J. Price,23,6,261,3929,549,1444,218,690,207,279,68,377,567,125,9,229,237,1523,0.38,0.316,0.742,15.1,5.8,1.4,2.2,2010,0.0,0.0,0.0
541,DaJuan Summers,22,4,83,820,103,268,29,79,43,67,24,82,29,18,8,37,104,278,0.384,0.367,0.642,9.9,3.3,1.0,0.3,2010,0.0,0.0,0.0
542,Jermaine Taylor,23,2,65,786,139,315,19,67,54,74,47,108,48,24,8,65,54,351,0.441,0.284,0.73,12.1,5.4,1.7,0.7,2010,0.0,0.0,0.0
543,Jeff Teague,21,12,826,22164,3548,7984,708,1968,2257,2673,274,1989,4585,936,277,1803,1542,10061,0.444,0.36,0.844,26.8,12.2,2.4,5.6,2010,0.0,0.0,0.0
544,Garrett Temple,23,14,722,14964,1592,3957,703,2038,565,763,291,1639,1204,582,236,644,1313,4452,0.402,0.345,0.74,20.7,6.2,2.3,1.7,2010,0.0,0.0,0.0
545,Hasheem Thabeet,22,5,224,2357,182,321,0,0,119,206,203,595,27,59,184,123,453,483,0.567,,0.578,10.5,2.2,2.7,0.1,2010,0.0,0.0,0.0
546,Marcus Thornton,22,8,483,11299,2124,5003,735,2051,767,924,407,1348,677,405,61,491,739,5750,0.425,0.358,0.83,23.4,11.9,2.8,1.4,2010,0.0,0.0,0.0
547,Reggie Williams,23,7,206,3736,599,1313,199,545,201,268,105,493,301,88,13,142,241,1598,0.456,0.365,0.75,18.1,7.8,2.4,1.5,2010,0.0,0.0,0.0
548,Terrence Williams,22,4,153,2922,437,1061,58,183,153,232,67,545,364,83,19,222,199,1085,0.412,0.317,0.659,19.1,7.1,3.6,2.4,2010,0.0,0.0,0.0
549,Sam Young,24,4,249,3966,560,1266,49,175,267,360,163,573,180,134,57,204,311,1436,0.442,0.28,0.742,15.9,5.8,2.3,0.7,2010,0.0,0.0,0.0
