,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
312,Jorge Garbajosa,29,2,74,1983,230,554,72,209,57,78,50,345,128,81,15,65,92,589,0.415,0.344,0.731,26.8,8.0,4.7,1.7,2007,17.0,640.0,0.027
313,Rudy Gay,20,17,1120,34561,6670,14771,1186,3429,3116,3898,1447,6283,2280,1231,798,2245,2524,17642,0.452,0.346,0.799,30.9,15.8,5.6,2.0,2007,93.0,640.0,0.145
314,Mickaël Gelabale,23,3,145,2348,263,560,43,136,101,124,107,330,115,50,35,92,186,670,0.47,0.316,0.815,16.2,4.6,2.3,0.8,2007,0.0,0.0,0.0
315,Daniel Gibson,20,7,397,9316,1065,2646,578,1419,407,522,142,792,775,243,86,373,811,3115,0.402,0.407,0.78,23.5,7.8,2.0,2.0,2007,0.0,0.0,0.0
316,Andreas Glyniadakis,25,1,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,0.471,,0.5,6.2,1.3,0.6,0.1,2007,0.0,0.0,0.0
317,Lynn Greer,27,1,41,432,61,141,18,52,27,32,2,27,53,17,1,18,32,167,0.433,0.346,0.844,10.5,4.1,0.7,1.3,2007,0.0,0.0,0.0
318,Mike Hall,22,1,2,13,1,4,0,0,0,0,1,2,1,0,0,0,1,2,0.25,,,6.5,1.0,1.0,0.5,2007,0.0,0.0,0.0
319,Walter Herrmann,27,3,152,1939,312,681,114,299,81,103,78,319,66,31,12,61,143,819,0.458,0.381,0.786,12.8,5.4,2.1,0.4,2007,5.0,640.0,0.008
320,Robert Hite,23,1,12,136,19,60,5,23,8,12,4,16,8,3,2,6,8,51,0.317,0.217,0.667,11.3,4.3,1.3,0.7,2007,0.0,0.0,0.0
321,Ryan Hollins,22,10,518,6134,687,1177,0,1,539,830,457,1140,151,94,271,384,1037,1913,0.584,0.0,0.649,11.8,3.7,2.2,0.3,2007,0.0,0.0,0.0
322,Mile Ilić,22,1,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0.0,,,1.2,0.0,0.2,0.0,2007,0.0,0.0,0.0
323,Ersan İlyasova,19,13,825,18957,3123,7047,883,2409,1235,1590,1397,4661,908,560,293,791,1994,8364,0.443,0.367,0.777,23.0,10.1,5.6,1.1,2007,0.0,0.0,0.0
324,Alexander Johnson,23,2,102,1302,152,294,0,0,135,201,82,275,30,38,45,89,217,439,0.517,,0.672,12.8,4.3,2.7,0.3,2007,0.0,0.0,0.0
325,Bobby Jones,23,2,91,867,103,233,19,62,63,92,51,149,44,26,4,46,144,288,0.442,0.306,0.685,9.5,3.2,1.6,0.5,2007,0.0,0.0,0.0
326,Solomon Jones,22,8,281,3092,301,645,1,9,236,329,257,654,99,58,154,161,554,839,0.467,0.111,0.717,11.0,3.0,2.3,0.4,2007,0.0,0.0,0.0
327,Tarence Kinsey,22,3,109,1340,186,411,23,71,116,142,42,147,53,68,1,71,102,511,0.453,0.324,0.817,12.3,4.7,1.3,0.5,2007,0.0,0.0,0.0
328,James Lang,23,1,11,55,4,9,0,0,3,5,5,11,2,0,3,2,14,11,0.444,,0.6,5.0,1.0,1.0,0.2,2007,0.0,0.0,0.0
329,Kyle Lowry,20,18,1108,35200,5140,12108,2137,5795,3595,4410,867,4808,6874,1442,329,2565,3034,16012,0.425,0.369,0.815,31.8,14.5,4.3,6.2,2007,0.0,0.0,0.0
330,Renaldo Major,24,1,1,27,2,10,0,0,1,2,0,2,0,2,0,1,4,5,0.2,,0.5,27.0,5.0,2.0,0.0,2007,0.0,0.0,0.0
331,Damir Markota,21,1,30,170,19,52,6,16,7,11,11,31,6,3,1,15,22,51,0.365,0.375,0.636,5.7,1.7,1.0,0.2,2007,0.0,0.0,0.0
332,Chris McCray,22,1,5,12,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0.0,,,2.4,0.0,0.0,0.0,2007,0.0,0.0,0.0
333,Ivan McFarlin,24,1,11,41,5,13,0,1,5,7,7,11,1,0,0,1,8,15,0.385,0.0,0.714,3.7,1.4,1.0,0.1,2007,0.0,0.0,0.0
334,Pops Mensah-Bonsu,23,4,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,0.41,0.0,0.589,8.3,3.0,3.0,0.2,2007,0.0,0.0,0.0
335,Paul Millsap,21,16,1085,30499,5455,11158,541,1588,3085,4190,2343,7673,2378,1327,1045,1829,3248,14536,0.489,0.341,0.736,28.1,13.4,7.1,2.2,2007,19.0,640.0,0.03
336,Randolph Morris,21,4,74,438,52,122,0,0,36,66,27,104,7,13,7,30,100,140,0.426,,0.545,5.9,1.9,1.4,0.1,2007,0.0,0.0,0.0
337,Adam Morrison,22,3,161,3278,467,1252,124,375,142,200,82,342,222,40,12,172,273,1200,0.373,0.331,0.71,20.4,7.5,2.1,1.4,2007,44.0,640.0,0.069
