,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
50,47,Chris McCray,"Nov 15, '06, MIL @ NJN",22,1,5,12,0,3,0,0,0,0,0,0,0,0,0,2,1,0,.000,,,2.4,0.0,0.0,0.0,2007
51,48,Ivan McFarlin,"Nov 7, '06, PHI @ IND",24,1,11,41,5,13,0,1,5,7,7,11,1,0,0,1,8,15,.385,.000,.714,3.7,1.4,1.0,0.1,2007
52,49,Pops Mensah-Bonsu,"Nov 21, '06, DAL vs. WAS",23,4,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,.410,.000,.589,8.3,3.0,3.0,0.2,2007
53,50,Paul Millsap,"Nov 1, '06, UTA vs. HOU",21,16,1085,30499,5455,11158,541,1588,3085,4190,2343,7673,2378,1327,1045,1829,3248,14536,.489,.341,.736,28.1,13.4,7.1,2.2,2007
54,51,Randolph Morris,"Mar 28, '07, NYK vs. CLE",21,4,74,438,52,122,0,0,36,66,27,104,7,13,7,30,100,140,.426,,.545,5.9,1.9,1.4,0.1,2007
55,52,Adam Morrison,"Nov 1, '06, CHA vs. IND",22,3,161,3278,467,1252,124,375,142,200,82,342,222,40,12,172,273,1200,.373,.331,.710,20.4,7.5,2.1,1.4,2007
56,53,David Noel,"Nov 3, '06, MIL @ TOR",22,1,68,792,65,177,17,53,37,43,42,123,65,25,9,40,77,184,.367,.321,.860,11.6,2.7,1.8,1.0,2007
57,54,Steve Novak,"Nov 1, '06, HOU @ UTA",23,11,467,5657,751,1717,575,1337,100,114,68,591,132,91,38,81,371,2177,.437,.430,.877,12.1,4.7,1.3,0.3,2007
58,55,Patrick O'Bryant,"Nov 1, '06, GSW vs. LAL",20,4,90,524,79,160,0,3,28,48,32,127,25,18,40,42,126,186,.494,.000,.583,5.8,2.1,1.4,0.3,2007
59,56,Kevinn Pinkney,"Apr 4, '07, BOS @ MIL",23,1,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,.444,.500,.667,16.7,5.2,2.5,0.8,2007
60,57,Leon Powe,"Nov 13, '06, BOS vs. ORL",23,5,239,3320,490,952,0,5,504,739,380,911,78,69,82,189,503,1484,.515,.000,.682,13.9,6.2,3.8,0.3,2007
61,58,Roger Powell,"Nov 14, '06, UTA vs. LAC",24,1,3,13,0,3,0,1,2,2,3,3,0,0,0,3,2,2,.000,.000,1.000,4.3,0.7,1.0,0.0,2007
62,59,Chris Quinn,"Oct 31, '06, MIA vs. CHI",23,6,241,3303,381,956,161,427,169,209,30,266,455,102,8,137,249,1092,.399,.377,.809,13.7,4.5,1.1,1.9,2007
63,60,Allan Ray,"Nov 17, '06, BOS vs. POR",22,1,47,710,100,259,48,116,42,55,18,69,43,20,3,42,85,290,.386,.414,.764,15.1,6.2,1.5,0.9,2007
64,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2007
65,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2007
66,61,J.J. Redick,"Nov 25, '06, ORL vs. ATL",22,15,940,23964,4009,8976,1950,4704,2060,2310,172,1903,1862,420,88,1040,1417,12028,.447,.415,.892,25.5,12.8,2.0,2.0,2007
67,62,Jeremy Richardson,"Jan 31, '07, ATL vs. GSW",22,3,45,245,33,99,15,39,5,8,3,25,5,4,0,10,21,86,.333,.385,.625,5.4,1.9,0.6,0.1,2007
68,63,Sergio Rodríguez,"Nov 3, '06, POR @ GSW",20,5,353,5281,676,1651,202,600,193,261,121,525,1183,212,13,491,441,1747,.409,.337,.739,15.0,4.9,1.5,3.4,2007
69,64,Rajon Rondo,"Nov 1, '06, BOS vs. NOK",20,16,957,28570,3886,8516,449,1384,1116,1826,910,4349,7584,1518,125,2586,1997,9337,.456,.324,.611,29.9,9.8,4.5,7.9,2007
70,65,Brandon Roy,"Nov 1, '06, POR @ SEA",22,6,326,11561,2224,4849,322,925,1366,1707,347,1388,1517,335,76,595,630,6136,.459,.348,.800,35.5,18.8,4.3,4.7,2007
71,66,Thabo Sefolosha,"Oct 31, '06, CHI @ MIA",22,14,869,19062,1916,4265,513,1469,649,887,626,3252,1196,935,366,755,1418,4994,.449,.349,.732,21.9,5.7,3.7,1.4,2007
72,67,Mouhamed Sene,"Nov 1, '06, SEA vs. POR",20,3,47,260,35,82,0,0,33,56,28,75,1,4,22,15,44,103,.427,,.589,5.5,2.2,1.6,0.0,2007
73,68,Cedric Simmons,"Nov 1, '06, NOK @ BOS",21,3,75,705,70,171,0,0,23,59,55,141,14,11,32,30,91,163,.409,,.390,9.4,2.2,1.9,0.2,2007
74,69,Uroš Slokar,"Dec 8, '06, TOR @ CHI",23,1,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,.538,.500,.692,3.6,1.9,0.7,0.1,2007
75,70,Craig Smith,"Nov 1, '06, MIN vs. SAC",23,6,403,6826,1221,2207,1,27,637,963,543,1567,322,183,91,413,957,3080,.553,.037,.661,16.9,7.6,3.9,0.8,2007
76,71,Steven Smith,"Nov 21, '06, PHI vs. DET",23,1,8,28,2,8,0,0,1,2,1,6,0,1,0,2,4,5,.250,,.500,3.5,0.6,0.8,0.0,2007
77,72,Vassilis Spanoulis,"Nov 4, '06, HOU vs. DAL",24,1,31,272,23,72,5,29,34,42,5,22,28,7,1,29,33,85,.319,.172,.810,8.8,2.7,0.7,0.9,2007
78,73,Tyrus Thomas,"Oct 31, '06, CHI @ MIA",20,8,402,7932,1147,2620,8,34,791,1080,550,1938,347,328,525,527,989,3093,.438,.235,.732,19.7,7.7,4.8,0.9,2007
79,74,P.J. Tucker,"Nov 1, '06, TOR @ NJN",21,13,867,24688,2116,4980,869,2379,721,961,1288,4728,1217,935,258,811,2125,5822,.425,.365,.750,28.5,6.7,5.5,1.4,2007
80,75,Marcus Vinicius,"Nov 25, '06, NOK @ DAL",22,2,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,.457,.421,.556,6.6,1.9,0.7,0.3,2007
81,76,James White,"Mar 26, '07, SAS @ GSW",24,3,67,583,71,162,17,50,23,34,8,68,35,17,6,25,53,182,.438,.340,.676,8.7,2.7,1.0,0.5,2007
82,77,Justin Williams,"Jan 13, '07, SAC vs. HOU",22,2,49,456,67,117,0,1,31,89,71,164,2,10,21,19,68,165,.573,.000,.348,9.3,3.4,3.3,0.0,2007
83,78,Marcus Williams,"Nov 1, '06, NJN vs. TOR",21,4,203,3095,427,1107,126,392,148,193,56,361,574,87,7,295,197,1128,.386,.321,.767,15.2,5.6,1.8,2.8,2007
84,79,Shawne Williams,"Dec 11, '06, IND @ CHI",20,7,314,5368,650,1612,275,812,194,257,247,945,220,127,156,197,656,1769,.403,.339,.755,17.1,5.6,3.0,0.7,2007
85,80,Shelden Williams,"Nov 1, '06, ATL @ PHI",23,6,361,5586,590,1276,2,9,436,589,529,1562,163,179,164,304,733,1618,.462,.222,.740,15.5,4.5,4.3,0.5,2007
0,1,Arron Afflalo,"Nov 1, '07, DET @ MIA",22,11,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198,.450,.386,.825,27.3,10.8,2.9,1.8,2008
1,2,Blake Ahearn,"Mar 21, '08, MIA vs. WAS",23,3,19,226,21,77,14,47,32,33,1,22,22,7,0,22,27,88,.273,.298,.970,11.9,4.6,1.2,1.2,2008
2,3,Lance Allred,"Mar 17, '08, CLE @ ORL",26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0,2008
3,4,Morris Almond,"Nov 7, '07, UTA vs. CLE",22,3,38,361,43,113,7,24,26,35,10,46,12,12,4,19,42,119,.381,.292,.743,9.5,3.1,1.2,0.3,2008
4,5,Joel Anthony,"Nov 27, '07, MIA vs. CHA",25,10,490,7056,398,776,0,0,268,405,562,1353,99,127,531,227,819,1064,.513,,.662,14.4,2.2,2.8,0.2,2008
5,6,Marco Belinelli,"Oct 30, '07, GSW vs. UTA",21,13,860,19548,2949,6959,1216,3230,1256,1485,187,1769,1429,488,65,850,1222,8370,.424,.376,.846,22.7,9.7,2.1,1.7,2008
6,7,Corey Brewer,"Nov 2, '07, MIN vs. DEN",21,13,819,18771,2684,6314,503,1774,1226,1720,613,2287,1250,1023,222,950,1768,7097,.425,.284,.713,22.9,8.7,2.8,1.5,2008
7,8,Aaron Brooks,"Nov 17, '07, HOU vs. PHO",23,10,645,13439,2261,5478,820,2218,917,1095,254,1079,1925,359,87,1000,1217,6259,.413,.370,.837,20.8,9.7,1.7,3.0,2008
8,9,Wilson Chandler,"Nov 13, '07, NYK @ PHO",20,12,676,20287,3270,7382,874,2560,1049,1363,766,3574,1205,470,414,931,1807,8463,.443,.341,.770,30.0,12.5,5.3,1.8,2008
9,10,Mike Conley,"Nov 7, '07, MEM @ SEA",20,17,1058,33616,5429,12364,1701,4420,2835,3449,501,3145,6063,1469,216,2038,2086,15394,.439,.385,.822,31.8,14.6,3.0,5.7,2008
10,11,Daequan Cook,"Nov 2, '07, MIA @ IND",20,6,328,5993,758,2056,442,1232,156,192,75,703,243,120,48,177,478,2114,.369,.359,.813,18.3,6.4,2.1,0.7,2008
11,12,Javaris Crittenton,"Nov 2, '07, LAL @ PHO",20,2,113,1853,229,518,12,52,125,196,84,276,201,59,8,137,148,595,.442,.231,.638,16.4,5.3,2.4,1.8,2008
12,13,Jermareo Davidson,"Nov 6, '07, CHA vs. PHO",23,2,52,433,68,160,0,0,26,45,31,96,14,9,18,22,58,162,.425,,.578,8.3,3.1,1.8,0.3,2008
13,14,Glen Davis,"Nov 2, '07, BOS vs. WAS",22,8,514,10865,1614,3611,10,55,873,1247,731,2236,457,357,173,528,1238,4111,.447,.182,.700,21.1,8.0,4.4,0.9,2008
14,15,Guillermo Díaz,"Jan 15, '08, LAC vs. PHO",22,1,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600,3.0,0.8,0.3,0.2,2008
15,16,Jared Dudley,"Nov 2, '07, CHA vs. MIL",22,14,904,20117,2408,5197,883,2247,934,1276,805,2849,1394,710,167,763,1636,6633,.463,.393,.732,22.3,7.3,3.2,1.5,2008
16,17,Kevin Durant,"Oct 31, '07, SEA @ DEN",19,16,1014,37220,9489,18991,1924,4969,6826,7710,687,7134,4436,1080,1137,3215,1950,27728,.500,.387,.885,36.7,27.3,7.0,4.4,2008
17,18,Nick Fazekas,"Nov 3, '07, DAL vs. SAC",22,1,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,.561,.000,.682,10.3,4.1,3.4,0.4,2008
18,19,Kyrylo Fesenko,"Nov 30, '07, UTA vs. LAL",21,5,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,.496,.000,.410,8.2,2.3,2.0,0.3,2008
19,20,Thomas Gardner,"Nov 15, '07, CHI @ PHO",22,2,20,143,18,59,7,35,2,6,3,11,3,4,1,7,8,45,.305,.200,.333,7.2,2.3,0.6,0.2,2008
20,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2008
21,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2008
22,21,Marcin Gortat,"Mar 1, '08, ORL vs. NYK",23,12,806,20691,3401,6168,3,20,1146,1686,1759,6407,915,383,885,958,1775,7951,.551,.150,.680,25.7,9.9,7.9,1.1,2008
23,22,Aaron Gray,"Nov 2, '07, CHI vs. PHI",23,7,318,3851,440,864,0,3,186,331,431,1190,207,94,87,265,678,1066,.509,.000,.562,12.1,3.4,3.7,0.7,2008
24,23,Jeff Green,"Oct 31, '07, SEA @ DEN",21,16,1138,32037,5040,11188,1130,3351,2723,3388,968,4710,1716,742,570,1549,2413,13933,.450,.337,.804,28.2,12.2,4.1,1.5,2008
25,24,Taurean Green,"Nov 2, '07, POR @ NOH",21,1,17,74,7,25,2,11,11,12,0,10,11,2,0,9,5,27,.280,.182,.917,4.4,1.6,0.6,0.6,2008
26,25,Mike Harris,"Mar 10, '08, HOU vs. NJN",24,4,54,496,70,151,0,5,43,55,51,116,12,27,12,30,68,183,.464,.000,.782,9.2,3.4,2.1,0.2,2008
27,26,Spencer Hawes,"Nov 10, '07, SAC vs. MIN",19,10,684,15541,2451,5363,359,1026,671,937,991,3893,1271,264,652,971,1709,5932,.457,.350,.716,22.7,8.7,5.7,1.9,2008
28,27,Al Horford,"Nov 2, '07, ATL vs. DAL",21,17,1041,33258,5733,11186,794,2123,1555,2046,2050,8353,3414,805,1218,1498,2286,13815,.513,.374,.760,31.9,13.3,8.0,3.3,2008
29,28,Yi Jianlian,"Oct 31, '07, MIL @ ORL",20,5,272,6038,813,2012,75,225,447,573,379,1339,192,136,184,302,618,2148,.404,.333,.780,22.2,7.9,4.9,0.7,2008
30,29,Coby Karl,"Oct 30, '07, LAL vs. HOU",24,2,24,184,20,58,6,24,12,16,7,32,24,7,3,15,18,58,.345,.250,.750,7.7,2.4,1.3,1.0,2008
31,30,Carl Landry,"Nov 24, '07, HOU vs. DEN",24,9,513,11524,2086,3898,9,30,1360,1732,994,2533,355,216,203,603,1208,5541,.535,.300,.785,22.5,10.8,4.9,0.7,2008
32,31,Keith Langford,"Dec 28, '07, SAS vs. TOR",24,1,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,.250,,,5.0,1.0,1.0,0.0,2008
33,32,Stéphane Lasme,"Nov 8, '07, GSW vs. DAL",25,1,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,,.594,18.9,5.2,3.3,0.2,2008
34,33,Acie Law,"Nov 2, '07, ATL vs. DAL",23,4,188,2385,263,637,27,115,172,221,33,195,309,83,4,145,193,725,.413,.235,.778,12.7,3.9,1.0,1.6,2008
35,34,Ian Mahinmi,"Oct 30, '07, SAS vs. POR",21,12,618,10353,1201,2254,8,50,799,1305,937,2705,357,357,443,601,1635,3209,.533,.160,.612,16.8,5.2,4.4,0.6,2008
36,35,Dominic McGuire,"Oct 31, '07, WAS @ IND",22,6,342,5348,388,927,3,16,160,243,344,1169,422,154,184,242,501,939,.419,.188,.658,15.6,2.7,3.4,1.2,2008
37,36,Josh McRoberts,"Nov 19, '07, POR @ CHA",20,11,433,8271,914,1972,196,576,309,438,468,1686,901,222,194,381,817,2333,.463,.340,.705,19.1,5.4,3.9,2.1,2008
38,37,Jamario Moon,"Nov 6, '07, TOR @ MIL",27,5,286,6451,723,1568,177,538,184,229,201,1227,291,229,236,147,424,1807,.461,.329,.803,22.6,6.3,4.3,1.0,2008
39,38,Juan Carlos Navarro,"Oct 31, '07, MEM vs. SAS",27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849,25.8,10.9,2.6,2.2,2008
40,39,Demetris Nichols,"Nov 28, '07, CLE @ DET",23,2,18,58,9,32,3,15,1,2,0,7,2,0,4,4,5,22,.281,.200,.500,3.2,1.2,0.4,0.1,2008
41,40,Joakim Noah,"Nov 6, '07, CHI vs. LAC",22,13,672,18646,2248,4574,0,16,1385,1979,2141,6058,1907,534,874,1133,1874,5881,.491,.000,.700,27.7,8.8,9.0,2.8,2008
42,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2008
43,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2008
44,41,Oleksiy Pecherov,"Jan 11, '08, WAS @ ATL",22,3,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,.386,.290,.793,9.4,3.9,2.4,0.2,2008
45,42,Kosta Perović,"Jan 19, '08, GSW @ MIL",22,1,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,.300,,.667,5.4,1.4,1.9,0.1,2008
46,43,Kasib Powell,"Mar 22, '08, MIA @ CHA",26,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,.368,.242,.667,27.6,7.6,4.0,1.6,2008
47,44,Gabe Pruitt,"Nov 9, '07, BOS vs. ATL",21,2,62,461,45,140,17,60,18,23,10,51,52,20,3,24,44,125,.321,.283,.783,7.4,2.0,0.8,0.8,2008
48,45,Chris Richard,"Nov 6, '07, MIN vs. ORL",23,2,70,780,56,116,0,0,23,38,71,194,25,18,16,38,133,135,.483,,.605,11.1,1.9,2.8,0.4,2008
49,46,Cheikh Samb,"Nov 16, '07, DET @ LAL",23,2,22,114,9,36,0,3,4,9,13,31,1,4,12,4,15,22,.250,.000,.444,5.2,1.0,1.4,0.0,2008
50,47,Luis Scola,"Oct 30, '07, HOU @ LAL",27,10,743,19001,3669,7442,92,271,1452,1961,1335,4941,1194,474,224,1121,2037,8882,.493,.339,.740,25.6,12.0,6.7,1.6,2008
51,48,Ramon Sessions,"Mar 9, '08, MIL vs. PHI",21,11,691,16119,2406,5539,208,658,2121,2681,339,1840,2807,472,52,1173,942,7141,.434,.316,.791,23.3,10.3,2.7,4.1,2008
52,49,Courtney Sims,"Oct 31, '07, IND vs. WAS",24,2,5,24,3,7,0,0,0,0,3,6,1,0,0,1,3,6,.429,,,4.8,1.2,1.2,0.2,2008
53,50,Jason Smith,"Oct 31, '07, PHI @ TOR",21,11,616,10029,1572,3360,84,252,549,701,656,2075,453,208,408,507,1337,3777,.468,.333,.783,16.3,6.1,3.4,0.7,2008
54,51,D.J. Strawberry,"Nov 2, '07, PHO vs. LAL",22,1,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,.315,.240,.474,8.2,2.2,0.8,0.9,2008
55,52,Rodney Stuckey,"Dec 21, '07, DET vs. MEM",21,10,651,17890,2904,6870,276,921,2101,2551,419,1912,2333,568,94,1181,1346,8185,.423,.300,.824,27.5,12.6,2.9,3.6,2008
56,53,Al Thornton,"Nov 2, '07, LAC vs. GSW",24,4,296,8274,1368,3029,78,266,713,954,392,1233,353,185,152,424,771,3527,.452,.293,.747,28.0,11.9,4.2,1.2,2008
57,54,Alando Tucker,"Nov 6, '07, PHO @ CHA",23,3,51,426,77,182,10,34,47,60,29,49,16,5,2,19,22,211,.423,.294,.783,8.4,4.1,1.0,0.3,2008
58,55,Darius Washington,"Oct 30, '07, SAS vs. POR",22,1,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,.438,.333,.538,8.1,2.9,1.1,0.8,2008
59,56,Darryl Watkins,"Oct 31, '07, SAC @ NOH",23,2,14,169,12,29,0,0,11,23,13,39,3,7,6,15,22,35,.414,,.478,12.1,2.5,2.8,0.2,2008
60,57,C.J. Watson,"Jan 9, '08, GSW @ POR",23,10,600,12093,1516,3617,471,1263,841,1036,218,1156,1485,559,67,650,894,4344,.419,.373,.812,20.2,7.2,1.9,2.5,2008
61,58,Mario West,"Nov 2, '07, ATL vs. DAL",23,4,162,796,56,125,2,10,40,71,60,142,51,45,8,31,134,154,.448,.200,.563,4.9,1.0,0.9,0.3,2008
62,59,Marcus Williams,"Dec 26, '07, SAS vs. CHI",21,2,13,39,7,22,0,0,0,0,4,12,3,1,1,0,4,14,.318,,,3.0,1.1,0.9,0.2,2008
63,60,Sean Williams,"Nov 2, '07, NJN vs. TOR",21,4,137,1978,229,448,0,1,123,197,183,472,47,47,162,120,324,581,.511,.000,.624,14.4,4.2,3.4,0.3,2008
64,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2008
65,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2008
66,61,Brandan Wright,"Nov 6, '07, GSW vs. CLE",20,10,428,6949,1271,2095,0,12,434,644,586,1560,199,198,425,202,574,2976,.607,.000,.674,16.2,7.0,3.6,0.5,2008
67,62,Julian Wright,"Nov 2, '07, NOH vs. POR",20,4,231,3049,397,795,16,61,97,166,184,531,182,132,69,164,182,907,.499,.262,.584,13.2,3.9,2.3,0.8,2008
68,63,Nick Young,"Oct 31, '07, WAS @ IND",22,12,720,16419,2894,6920,1039,2764,1367,1636,260,1427,687,394,135,711,1316,8194,.418,.376,.836,22.8,11.4,2.0,1.0,2008
69,64,Thaddeus Young,"Nov 7, '07, PHI vs. CHA",19,17,1146,32604,6084,12104,521,1586,1412,2131,2253,6518,2085,1591,453,1630,2440,14101,.503,.328,.663,28.5,12.3,5.7,1.8,2008
0,1,Alexis Ajinça,"Oct 30, '08, CHA @ CLE",20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,.503,.286,.797,13.3,5.3,3.9,0.5,2009
1,2,Joe Alexander,"Nov 2, '08, MIL @ NYK",22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,.410,.340,.698,11.1,4.2,1.8,0.7,2009
2,3,Ryan Anderson,"Oct 29, '08, NJN @ WAS",20,12,649,16769,2755,6533,1325,3491,1166,1366,1247,3413,586,332,217,606,1263,8001,.422,.380,.854,25.8,12.3,5.3,0.9,2009
3,4,Darrell Arthur,"Oct 29, '08, MEM @ HOU",20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,.444,.352,.765,17.8,6.5,3.5,0.8,2009
4,5,D.J. Augustin,"Oct 30, '08, CHA @ CLE",21,14,976,22851,2994,7270,1262,3311,2009,2317,292,1805,3761,567,32,1428,1350,9259,.412,.381,.867,23.4,9.5,1.8,3.9,2009
5,6,Nicolas Batum,"Oct 28, '08, POR @ LAL",20,16,1015,30259,3820,8734,1619,4419,1496,1798,996,5085,3383,940,637,1603,1767,10755,.437,.366,.832,29.8,10.6,5.0,3.3,2009
6,7,Jerryd Bayless,"Oct 28, '08, POR @ LAL",20,11,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,.411,.361,.818,21.3,8.4,2.1,2.9,2009
7,8,Michael Beasley,"Oct 29, '08, MIA @ NYK",20,11,609,13903,3088,6644,291,835,1101,1450,664,2861,788,345,314,1025,1294,7568,.465,.349,.759,22.8,12.4,4.7,1.3,2009
8,9,Bobby Brown,"Oct 31, '08, SAC @ MIA",24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,.379,.317,.806,10.7,4.4,0.7,1.5,2009
9,10,Mario Chalmers,"Oct 29, '08, MIA @ NYK",22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,.417,.351,.793,26.7,8.9,2.5,3.7,2009
10,11,Joe Crawford,"Apr 8, '09, NYK vs. DET",22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000,11.5,4.5,2.0,0.5,2009
11,12,Joey Dorsey,"Nov 9, '08, HOU @ LAL",25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,.534,.000,.375,11.4,2.6,3.9,0.4,2009
12,13,Chris Douglas-Roberts,"Oct 29, '08, NJN @ WAS",22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,.439,.329,.831,19.7,7.1,2.1,1.1,2009
13,14,Goran Dragić,"Oct 29, '08, PHO @ SAS",22,15,946,25604,4605,10029,1150,3181,2208,2883,643,2816,4405,876,167,2064,2119,12568,.459,.362,.766,27.1,13.3,3.0,4.7,2009
14,15,Rudy Fernández,"Oct 28, '08, POR @ LAL",23,4,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,.399,.360,.840,24.0,9.1,2.4,2.2,2009
15,16,Danilo Gallinari,"Oct 29, '08, NYK vs. MIA",20,14,754,22165,3511,8207,1446,3796,3040,3469,513,3586,1445,542,265,897,1331,11508,.428,.381,.876,29.4,15.3,4.8,1.9,2009
16,17,Marc Gasol,"Oct 29, '08, MEM @ HOU",24,13,891,28719,4635,9638,431,1197,2813,3625,1411,6604,2996,792,1254,1755,2551,12514,.481,.360,.776,32.2,14.0,7.4,3.4,2009
17,18,J.R. Giddens,"Feb 22, '09, BOS @ PHO",23,2,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,.476,.000,.565,6.5,1.9,1.4,0.3,2009
18,19,Eric Gordon,"Oct 29, '08, LAC vs. LAL",20,16,848,27165,4612,10719,1959,5266,2343,2892,323,2008,2377,713,300,1615,1542,13526,.430,.372,.810,32.0,16.0,2.4,2.8,2009
19,20,Donté Greene,"Oct 31, '08, SAC @ MIA",20,4,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,.406,.304,.701,16.8,6.1,2.4,0.7,2009
20,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2009
21,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2009
22,21,Hamed Haddadi,"Dec 30, '08, MEM vs. PHO",23,5,151,1056,130,281,0,5,79,125,137,372,43,11,92,92,209,339,.463,.000,.632,7.0,2.2,2.5,0.3,2009
23,22,Malik Hairston,"Jan 31, '09, SAS vs. NOH",21,2,62,472,64,125,2,12,19,37,24,77,29,10,16,23,48,149,.512,.167,.514,7.6,2.4,1.2,0.5,2009
24,23,Roy Hibbert,"Oct 29, '08, IND @ DET",22,9,662,16389,2622,5641,6,24,1361,1802,1527,4173,885,241,1146,1038,2067,6611,.465,.250,.755,24.8,10.0,6.3,1.3,2009
25,24,J.J. Hickson,"Oct 30, '08, CLE vs. CHA",20,8,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,.505,.000,.617,22.3,9.5,6.8,0.8,2009
26,25,George Hill,"Nov 4, '08, SAS vs. DAL",22,15,915,24501,3377,7393,1066,2808,1725,2141,533,2731,2807,806,233,1091,1759,9545,.457,.380,.806,26.8,10.4,3.0,3.1,2009
27,26,Steven Hill,"Nov 12, '08, OKC vs. ORL",23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,,,2.0,2.0,3.0,0.0,2009
28,27,Othello Hunter,"Nov 11, '08, ATL @ CHI",22,2,23,125,15,32,0,0,3,9,15,36,1,2,6,5,16,33,.469,,.333,5.4,1.4,1.6,0.0,2009
29,28,Darnell Jackson,"Nov 25, '08, CLE @ NYK",23,3,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,.449,.235,.644,7.5,2.2,1.5,0.2,2009
30,29,Nathan Jawai,"Jan 21, '09, TOR @ DET",22,2,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,.435,.000,.684,9.6,2.8,2.4,0.5,2009
31,30,Dontell Jefferson,"Apr 5, '09, CHA @ DET",25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,.500,.500,.667,14.0,4.8,2.0,1.5,2009
