,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
30,29,Chris Jefferies,"Nov 1, '02, TOR @ SAS",22,2,72,861,102,266,35,96,42,63,21,88,29,23,23,64,92,281,.383,.365,.667,12.0,3.9,1.2,0.4,2003
31,30,Jared Jeffries,"Oct 30, '02, WAS @ TOR",21,11,629,13579,1163,2728,73,292,604,1036,1166,2563,798,435,323,674,1529,3003,.426,.250,.583,21.6,4.8,4.1,1.3,2003
32,31,Ken Johnson,"Nov 16, '02, MIA @ WAS",24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,,.333,9.8,2.0,2.0,0.0,2003
33,32,Fred Jones,"Oct 30, '02, IND vs. HOU",23,7,430,10299,1090,2651,346,979,680,841,157,958,990,336,115,511,831,3206,.411,.353,.809,24.0,7.5,2.2,2.3,2003
34,33,Sean Lampley,"Dec 4, '02, MIA @ LAC",23,2,45,550,69,149,0,4,65,94,28,94,33,7,4,28,45,203,.463,.000,.691,12.2,4.5,2.1,0.7,2003
35,34,Tito Maddox,"Nov 29, '02, HOU @ SEA",21,1,9,35,3,12,0,3,5,8,1,7,5,3,1,3,4,11,.250,.000,.625,3.9,1.2,0.8,0.6,2003
36,35,Roger Mason,"Feb 21, '03, CHI @ ORL",22,10,518,9147,1196,2933,594,1549,303,350,78,897,677,189,75,370,709,3289,.408,.383,.866,17.7,6.3,1.7,1.3,2003
37,36,Yao Ming*,"Oct 30, '02, HOU @ IND",22,8,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,.524,.200,.833,32.5,19.0,9.2,1.6,2003
38,37,Ronald Murray,"Nov 2, '02, MIL vs. ORL",23,8,487,11077,1806,4360,328,1079,877,1210,192,1006,1096,404,100,742,795,4817,.414,.304,.725,22.7,9.9,2.1,2.3,2003
39,38,Boštjan Nachbar,"Oct 30, '02, HOU @ IND",22,6,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,.406,.375,.784,17.8,7.1,2.6,0.9,2003
